order,median max lifespan,MAD,outlying species,outlying max lifespan
Rodentia,7.3,2.7,Sciurus_carolinensis,23.6
Rodentia,7.3,2.7,Hystrix_cristata,28.0
Rodentia,7.3,2.7,Marmota_flaviventris,21.2
Rodentia,7.3,2.7,Castor_canadensis,23.4
Rodentia,7.3,2.7,Marmota_marmota,17.4
Rodentia,7.3,2.7,Heterocephalus_glaber,31.0
Rodentia,7.3,2.7,Pedetes_capensis,20.0
Rodentia,7.3,2.7,Chinchilla_lanigera,17.2
Rodentia,7.3,2.7,Coendou_prehensilis,26.6
Rodentia,7.3,2.7,Myocastor_coypus,19.0
Carnivora,24.75,6.199999999999999,Phoca_vitulina,47.6
Carnivora,24.75,6.199999999999999,Ursus_maritimus,43.8
Primates,33.8,7.149999999999997,Pongo_pygmaeus,59.0
Primates,33.8,7.149999999999997,Gorilla_gorilla,60.1
Primates,33.8,7.149999999999997,Pongo_pygmaeus,59.0
Ruminantia,22.0,4.199999999999999,Giraffa_camelopardalis,39.5
Ruminantia,22.0,4.199999999999999,Bubalus_bubalis,34.9
Ruminantia,22.0,4.199999999999999,Damaliscus_lunatus,35.0
Whippomorpha,49.5,18.35,Balaenoptera_physalus,114.0
Whippomorpha,49.5,18.35,Balaena_mysticetus,211.0
Whippomorpha,49.5,18.35,Balaenoptera_musculus,110.0
Chiroptera,17.0,5.0,Myotis_lucifugus,34.0
Chiroptera,17.0,5.0,Pteropus_giganteus,44.0
Chiroptera,17.0,5.0,Myotis_myotis,37.1
Chiroptera,17.0,5.0,Myotis_brandtii,41.0
Eulipotyphla,4.7,1.85,Solenodon_paradoxus,12.1
Eulipotyphla,4.7,1.85,Erinaceus_europaeus,11.7
